2024.10, <a href="https://vimeo.com/1021572338">tokens</a>, Audio Visual
2023.03, TParty × 武蔵美電音研 合同研究発表会 Synthetica, VJ
2022.10, J-WAVE INNOVATION WORLD FESTA 2022<br>Aile The Shota feat. Nu ink., AR ライブ映像
2021.10, DJ Robotics Lynx Opening Event, VJ
2021.11, <a href="https://youtu.be/tRubYTfBBGc">シブキ</a>, プロジェクションシステム
2021.10, J-WAVE INNOVATION WORLD FESTA 2021<br> 新しい学校のリーダーズ feat. Nu ink., AR VJ
2021.04, よってってtonight! special, VJ
